"","ID","Intensity","BP0","BP1","Omaxe","Pmaxe","Equation","Q0d","K","Alpha","R2","Q0se","Alphase","N","AbsSS","SdRes","Q0Low","Q0High","AlphaLow","AlphaHigh","EV","Omaxd","Pmaxd","Notes"
"921","921",8.19214821104834,NA,17,63.4993574652716,12,"hs",12.4848723716525,2.2219018806417,0.00379111719781534,0.643590691205764,5.63657900785906,0.000708700476660529,17,1.27389298774427,0.291420999900404,0.470788606839498,24.4989561364654,0.00228055788889926,0.00530167650673143,0.796426083169982,21.2663619733356,5.32285893738369,"converged"
"922","922",10.3398653312122,NA,17,56.0457251434768,8,"hs",12.6795796427145,1.93383517793293,0.00419976915944538,0.742131218342032,4.38027093575733,0.000540755643757849,17,0.684770487115238,0.213661802406707,3.34325314726581,22.0159061381631,0.00304717578829883,0.00535236253059193,0.885411983922224,22.5267538379754,5.65976002054595,"converged"
"923","923",8.011582446536,NA,16,38.0266915567004,11,"hs",13.2027277477792,1.6210502896097,0.00491962918649603,0.799775286594722,4.02583319929147,0.000488294565071401,16,0.410366268540638,0.17120711528535,4.56817429416129,21.837281201397,0.00387234150354828,0.00596691686944379,0.984856370486246,23.734434240282,5.85232307337313,"converged"
"924","924",8.18597090343043,NA,17,41.3642650444006,12,"hs",12.5608664728061,2.33397179995537,0.00356646829943424,0.520222741339641,6.81752661586922,0.000826976069691974,17,1.90788973936584,0.356640784671433,-1.97034753443005,27.0920804800422,0.00180381053150048,0.00532912606736801,0.786354226251296,21.3808311110565,5.28198051761763,"converged"
"925","925",6.92636376786399,NA,17,40.9211688663091,12,"hs",11.5106309480744,1.55051516762607,0.00596665384196936,0.775759322790273,3.77008307234423,0.000614628070410954,16,0.447373637725009,0.178760341903624,3.4246069621662,19.5966549339825,0.00464840773853134,0.00728489994540738,0.868070761940398,20.6680900039984,5.8724879600117,"converged"
"926","926",5.80921036461415,NA,17,35.112623770214,10,"hs",13.094066436863,2.37825872288676,0.00381464084040057,0.65376169365436,6.46060015592634,0.000837161986921471,17,1.46561258782793,0.312581998610278,-0.676376829529637,26.8645097032556,0.00203027230381688,0.00559900937698425,0.714755816818079,19.5711820616064,4.62561303707296,"converged"
"927","927",5.36361907857815,NA,17,27.6026818316252,10,"hs",11.6873811195209,2.13726237968307,0.00557307625826643,0.763416829689901,5.45757007594056,0.00107540724723468,16,0.958617509107192,0.261672847697162,-0.0179425277349416,23.3927047667768,0.00326655711030717,0.00787959540622569,0.574272807375816,15.1219920963126,4.06548882325436,"converged"
"928","928",6.57858000350479,NA,17,45.8228098884089,11,"hs",8.73492006495058,1.78515522370631,0.00539959012995945,0.656884862367533,3.16050453989348,0.000720332828577635,16,0.751868871507386,0.231743218656738,1.95631200068327,15.5135281292179,0.00385462986835597,0.00694455039156294,0.77647097752842,19.2535665985602,7.09513300839862,"converged"
"929","929",14.3902233250787,NA,17,38.9952590587051,9,"hs",15.7613453732722,2.10748554688186,0.00367261573019399,0.747915799715978,6.45108707625233,0.000606948671032174,16,0.822875918121447,0.242439376534401,1.92513968952757,29.5975510570168,0.00237084030031478,0.0049743911600732,0.88997458075748,23.3192078872287,4.65797158228982,"converged"
"930","930",6.94572270689452,NA,16,37.840581344145,10,"hs",9.06699144757492,1.41813781038792,0.0055646960045972,0.762410074572892,2.01614125944672,0.000537087997009985,15,0.242596971145986,0.136606388843158,4.71138306366482,13.422599831485,0.00440438793009445,0.00672500407909996,1.06409622228406,24.7824405907495,9.0097411187062,"converged"
"931","931",5.87707590666407,NA,17,46.8572453490558,8,"hs",14.4095718612065,3.34557507098341,0.00249367692606892,0.473428717235054,10.7013960618525,0.000988763634326198,17,4.02688882469521,0.518130538551513,-8.39991391168414,37.2190576340971,0.000386177127018312,0.00460117672511953,0.655320334250373,20.5704359918708,4.21892727377187,"converged"
"932","932",6.01808437738764,NA,17,39.9540495097984,12,"hs",8.2628001753028,1.81840156953991,0.00536354912981047,0.578439372747716,3.35446151404835,0.000842247621128429,15,0.905435735545218,0.263910785558771,1.01592666104202,15.5096736895636,0.00354398376814426,0.00718311449147668,0.760349107577327,18.9630120518865,7.37019373440368,"converged"
"933","933",8.80657090772929,NA,16,36.2698460579381,8,"hs",14.1883099956191,1.94283181877536,0.00427224930009856,0.698585623527959,6.2760395682999,0.00070270676101131,15,0.833335494732836,0.253185170110858,0.629750825543727,27.7468691656945,0.00275414363892523,0.00579035496127188,0.864351920731067,22.0249125455766,4.94216614291361,"converged"
"934","934",11.7897166839104,NA,17,45.7411989445592,10,"hs",9.82955795586026,2.0826266208355,0.00371264804588345,0.533276529231545,3.96898664732532,0.000584455902302478,17,1.18164291665367,0.280670971857758,1.36986317008589,18.2892527416346,0.00246690977852111,0.0049583863132458,0.896187941990368,23.3844711869682,7.50222369532646,"converged"
"935","935",6.9815383317217,NA,17,31.0999670519593,6,"hs",6.90801942957845,1.81113324786207,0.00608995314987856,0.608103174561139,2.37911159398843,0.000785136731390198,17,0.797679342259265,0.230604906316592,1.83706310373581,11.9789757554211,0.00441647382055464,0.00776343247920249,0.673690531586905,16.7805706703475,7.8049974617417,"converged"
"936","936",12.2269758682774,NA,17,44.0592271493552,9,"hs",7.10955975596076,2.04759839285107,0.005354785156138,0.403256848152861,3.6757008773423,0.00107027818844082,17,1.8972994352287,0.355649587396424,-0.725011208664158,14.9441307205857,0.00307354119776327,0.00763602911451273,0.637368768849243,16.5332631402191,7.35082009056924,"converged"
"937","937",7.45852096625736,NA,16,35.6322252960947,12,"hs",9.39862480377868,1.48292440939192,0.00571207118209687,0.799470023684758,2.0302190134986,0.000478731405234751,15,0.220410103721244,0.130209920371578,5.01260328126148,13.7846463262959,0.00467783485936333,0.00674630750483042,0.969455476559609,22.8201090831962,7.97424408550882,"converged"
"938","938",9.34905623918289,NA,17,42.6515116017589,10,"hs",9.37047610159616,1.72321049634469,0.0050094572274411,0.681153650860142,2.86743597584943,0.000554380743475755,17,0.588485308636781,0.198071587839141,3.25868099395013,15.4822712092422,0.00382782264369261,0.00619109181118959,0.882473820041474,21.6474943204799,7.46840493314608,"converged"
